,trigger,word,pos,sess,sent_num,filename,len,freq,sess_id,prev_pos,next_pos,prev_freq,next_freq,prev_len,next_len,sent_ident
14,12,not,PART,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.71,session0_files0-11_triggers_processed.txt,AUX,VERB,6.7,5.78,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
15,13,come,VERB,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.78,session0_files0-11_triggers_processed.txt,PART,ADP,6.71,5.24,3.0,6.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
16,14,across,ADP,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,6,5.24,session0_files0-11_triggers_processed.txt,VERB,PRON,5.78,6.8,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
17,15,this,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.8,session0_files0-11_triggers_processed.txt,ADP,ADV,5.24,5.55,6.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
18,16,yet,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,5.55,session0_files0-11_triggers_processed.txt,PRON,CCONJ,6.8,6.62,4.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
19,17,but,CCONJ,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.62,session0_files0-11_triggers_processed.txt,ADV,PRON,5.55,7.11,3.0,1.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
20,18,i,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.11,session0_files0-11_triggers_processed.txt,CCONJ,VERB,6.62,4.37,3.0,7.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
21,19,figured,VERB,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,7,4.37,session0_files0-11_triggers_processed.txt,PRON,PRON,7.11,7.11,1.0,1.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
22,20,i,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.11,session0_files0-11_triggers_processed.txt,VERB,AUX,4.37,6.27,7.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
23,21,would,AUX,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,6.27,session0_files0-11_triggers_processed.txt,PRON,VERB,7.11,5.65,1.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
24,22,put,VERB,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,5.65,session0_files0-11_triggers_processed.txt,AUX,PRON,6.27,6.96,5.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
25,23,it,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.96,session0_files0-11_triggers_processed.txt,VERB,ADV,5.65,6.36,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
26,24,out,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.36,session0_files0-11_triggers_processed.txt,PRON,ADV,6.96,6.33,2.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
27,25,there,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,6.33,session0_files0-11_triggers_processed.txt,ADV,ADV,6.36,3.97,3.0,7.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
28,26,anyways,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,7,3.97,session0_files0-11_triggers_processed.txt,ADV,SENT_END,6.33,0.0,5.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
31,1,john,PROPN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.35,session0_files0-11_triggers_processed.txt,SENT_START,PROPN,0.0,3.57,0.0,7.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
32,2,donovan,PROPN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,7,3.57,session0_files0-11_triggers_processed.txt,PROPN,ADP,5.35,6.63,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
33,3,from,ADP,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.63,session0_files0-11_triggers_processed.txt,PROPN,PROPN,3.57,0.0,7.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
34,4,argghhh!,PROPN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,0.0,session0_files0-11_triggers_processed.txt,ADP,AUX,6.63,6.37,4.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
35,5,has,AUX,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.37,session0_files0-11_triggers_processed.txt,PROPN,VERB,0.0,5.65,8.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
36,6,put,VERB,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,5.65,session0_files0-11_triggers_processed.txt,AUX,ADP,6.37,6.36,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
37,7,out,ADP,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.36,session0_files0-11_triggers_processed.txt,VERB,DET,5.65,7.36,3.0,1.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
38,8,a,DET,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.36,session0_files0-11_triggers_processed.txt,ADP,ADJ,6.36,4.73,3.0,9.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
39,9,excellent,ADJ,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,9,4.73,session0_files0-11_triggers_processed.txt,DET,NOUN,7.36,4.27,1.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
40,10,slide,NOUN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,4.27,session0_files0-11_triggers_processed.txt,ADJ,NOUN,4.73,5.64,9.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
41,11,show,NOUN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.64,session0_files0-11_triggers_processed.txt,NOUN,SCONJ,4.27,6.92,5.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
42,12,on,SCONJ,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.92,session0_files0-11_triggers_processed.txt,NOUN,PRON,5.64,6.38,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
43,13,what,PRON,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.38,session0_files0-11_triggers_processed.txt,SCONJ,AUX,6.92,6.84,2.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
44,14,was,AUX,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.84,session0_files0-11_triggers_processed.txt,PRON,ADV,6.38,5.44,4.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
45,15,actually,ADV,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,5.44,session0_files0-11_triggers_processed.txt,AUX,VERB,6.84,5.7,3.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
46,16,found,VERB,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,5.7,session0_files0-11_triggers_processed.txt,ADV,CCONJ,5.44,7.41,8.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
47,17,and,CCONJ,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.41,session0_files0-11_triggers_processed.txt,VERB,VERB,5.7,4.5,5.0,6.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
48,18,fought,VERB,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,6,4.5,session0_files0-11_triggers_processed.txt,CCONJ,ADP,7.41,7.01,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
49,19,for,ADP,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.01,session0_files0-11_triggers_processed.txt,VERB,ADP,4.5,7.29,6.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
50,20,in,ADP,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.29,session0_files0-11_triggers_processed.txt,ADP,PROPN,7.01,2.78,3.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
51,21,fallujah,PROPN,sess_0,sent_1,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,2.78,session0_files0-11_triggers_processed.txt,ADP,SENT_END,7.29,0.0,2.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_1
54,1,click,VERB,sess_0,sent_2,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,4.87,session0_files0-11_triggers_processed.txt,SENT_START,ADV,0.0,5.94,0.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_2
55,2,here,ADV,sess_0,sent_2,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.94,session0_files0-11_triggers_processed.txt,VERB,PART,4.87,7.44,5.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_2
56,3,to,PART,sess_0,sent_2,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.44,session0_files0-11_triggers_processed.txt,ADV,VERB,5.94,5.22,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_2
57,4,view,VERB,sess_0,sent_2,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.22,session0_files0-11_triggers_processed.txt,PART,PRON,7.44,6.96,2.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_2
58,5,it,PRON,sess_0,sent_2,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.96,session0_files0-11_triggers_processed.txt,VERB,SENT_END,5.22,0.0,4.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_2
61,1,he,PRON,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.69,session0_files0-11_triggers_processed.txt,SENT_START,VERB,0.0,5.43,0.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
62,2,makes,VERB,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,5.43,session0_files0-11_triggers_processed.txt,PRON,DET,6.69,6.19,2.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
63,3,some,DET,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.19,session0_files0-11_triggers_processed.txt,VERB,ADJ,5.43,6.12,5.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
64,4,good,ADJ,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.12,session0_files0-11_triggers_processed.txt,DET,NOUN,6.19,4.18,4.0,12.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
65,5,observations,NOUN,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,12,4.18,session0_files0-11_triggers_processed.txt,ADJ,ADP,6.12,6.92,4.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
66,6,on,ADP,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.92,session0_files0-11_triggers_processed.txt,NOUN,DET,4.18,7.36,12.0,1.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
67,7,a,DET,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.36,session0_files0-11_triggers_processed.txt,ADP,ADJ,6.92,5.57,2.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
68,8,few,ADJ,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,5.57,session0_files0-11_triggers_processed.txt,DET,ADP,7.36,7.45,1.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
69,9,of,ADP,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.45,session0_files0-11_triggers_processed.txt,ADJ,DET,5.57,7.77,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
70,10,the,DET,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.77,session0_files0-11_triggers_processed.txt,ADP,NOUN,7.45,1.87,2.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
71,11,pic's,NOUN,sess_0,sent_3,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,1.87,session0_files0-11_triggers_processed.txt,DET,SENT_END,7.77,0.0,3.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_3
74,1,one,NUM,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.48,session0_files0-11_triggers_processed.txt,SENT_START,ADP,0.0,7.45,0.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
75,2,of,ADP,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.45,session0_files0-11_triggers_processed.txt,NUM,DET,6.48,7.77,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
76,3,the,DET,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.77,session0_files0-11_triggers_processed.txt,ADP,NOUN,7.45,4.89,2.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
77,4,pictures,NOUN,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,4.89,session0_files0-11_triggers_processed.txt,DET,VERB,7.77,5.19,3.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
78,5,shows,VERB,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,5.19,session0_files0-11_triggers_processed.txt,NOUN,DET,4.89,7.36,8.0,1.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
79,6,a,DET,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.36,session0_files0-11_triggers_processed.txt,VERB,NOUN,5.19,4.52,5.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
80,7,flag,NOUN,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,4.52,session0_files0-11_triggers_processed.txt,DET,PRON,7.36,7.02,1.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
81,8,that,PRON,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,7.02,session0_files0-11_triggers_processed.txt,NOUN,AUX,4.52,6.84,4.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
82,9,was,AUX,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.84,session0_files0-11_triggers_processed.txt,PRON,VERB,7.02,5.7,4.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
83,10,found,VERB,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,5.7,session0_files0-11_triggers_processed.txt,AUX,ADP,6.84,7.29,3.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
84,11,in,ADP,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.29,session0_files0-11_triggers_processed.txt,VERB,PROPN,5.7,2.78,5.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
85,12,fallujah,PROPN,sess_0,sent_4,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,2.78,session0_files0-11_triggers_processed.txt,ADP,SENT_END,7.29,0.0,2.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_4
88,1,on,ADP,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.92,session0_files0-11_triggers_processed.txt,SENT_START,DET,0.0,7.77,0.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
89,2,the,DET,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.77,session0_files0-11_triggers_processed.txt,ADP,ADJ,6.92,5.68,2.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
90,3,next,ADJ,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.68,session0_files0-11_triggers_processed.txt,DET,NUM,7.77,6.11,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
91,4,two,NUM,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.11,session0_files0-11_triggers_processed.txt,ADJ,NOUN,5.68,4.89,4.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
92,5,pictures,NOUN,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,4.89,session0_files0-11_triggers_processed.txt,NUM,PRON,6.11,6.69,3.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
93,6,he,PRON,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.69,session0_files0-11_triggers_processed.txt,NOUN,VERB,4.89,5.52,8.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
94,7,took,VERB,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.52,session0_files0-11_triggers_processed.txt,PRON,NOUN,6.69,3.47,2.0,11.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
95,8,screenshots,NOUN,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,11,3.47,session0_files0-11_triggers_processed.txt,VERB,ADP,5.52,7.45,4.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
96,9,of,ADP,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,7.45,session0_files0-11_triggers_processed.txt,NOUN,NUM,3.47,6.11,11.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
97,10,two,NUM,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.11,session0_files0-11_triggers_processed.txt,ADP,NOUN,7.45,2.93,2.0,9.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
98,11,beheading,NOUN,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,9,2.93,session0_files0-11_triggers_processed.txt,NUM,NOUN,6.11,3.0,3.0,7.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
99,12,video's,NOUN,sess_0,sent_5,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,7,3.0,session0_files0-11_triggers_processed.txt,NOUN,SENT_END,2.93,0.0,9.0,0.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_5
102,1,compare,VERB,sess_0,sent_6,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,7,4.43,session0_files0-11_triggers_processed.txt,SENT_START,DET,0.0,7.77,0.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_6
103,2,the,DET,sess_0,sent_6,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.77,session0_files0-11_triggers_processed.txt,VERB,NOUN,4.43,4.01,7.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_6
104,3,flags,NOUN,sess_0,sent_6,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,4.01,session0_files0-11_triggers_processed.txt,DET,ADP,7.77,7.44,3.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_6
